iter	Passed	Remaining
0	141	141262
1	142	70858
2	142	47381
3	143	35637
4	143	28588
5	144	23885
6	144	20527
7	145	18009
8	145	16049
9	146	14482
10	146	13200
11	147	12131
12	147	11225
13	148	10451
14	148	9779
15	149	9190
16	149	8669
17	150	8207
18	150	7792
19	151	7420
20	151	7084
21	152	6778
22	153	6499
23	153	6243
24	154	6008
25	154	5791
26	155	5590
27	155	5401
28	156	5225
29	156	5060
30	156	4905
31	157	4760
32	157	4624
33	158	4495
34	158	4374
35	159	4260
36	159	4151
37	159	4049
38	160	3951
39	160	3858
40	161	3770
41	161	3686
42	162	3606
43	162	3530
44	162	3457
45	163	3387
46	163	3320
47	164	3255
48	164	3194
49	164	3134
50	165	3078
51	165	3023
52	166	2971
53	166	2920
54	167	2871
55	167	2824
56	167	2778
57	168	2734
58	168	2692
59	169	2651
60	169	2612
61	170	2574
62	170	2536
63	170	2500
64	171	2465
65	171	2431
66	172	2398
67	172	2363
68	172	2332
69	173	2302
70	173	2273
71	174	2244
72	174	2216
73	174	2189
74	175	2163
75	175	2137
76	176	2112
77	176	2088
78	177	2064
79	177	2040
80	177	2018
81	178	1995
82	178	1974
83	179	1953
84	179	1931
85	179	1911
86	180	1890
87	180	1870
88	180	1852
89	181	1833
90	181	1815
91	182	1798
92	182	1781
93	183	1765
94	183	1748
95	183	1732
96	184	1716
97	184	1700
98	185	1685
99	185	1670
100	186	1655
101	186	1639
102	186	1625
103	187	1611
104	187	1598
105	187	1584
106	188	1571
107	188	1558
108	189	1545
109	189	1533
110	189	1521
111	190	1509
112	190	1497
113	191	1485
114	191	1474
115	191	1462
116	192	1451
117	192	1440
118	193	1429
119	193	1419
120	193	1408
121	194	1398
122	194	1387
123	194	1377
124	195	1367
125	195	1358
126	196	1349
127	196	1339
128	197	1330
129	197	1321
130	197	1312
131	198	1304
132	198	1295
133	199	1287
134	199	1278
135	200	1270
136	200	1262
137	200	1254
138	201	1246
139	201	1238
140	201	1230
141	202	1223
142	202	1215
143	203	1208
144	203	1200
145	204	1193
146	204	1186
147	204	1179
148	205	1173
149	205	1166
150	206	1159
151	206	1152
152	207	1146
153	207	1139
154	207	1133
155	208	1127
156	208	1121
157	209	1114
158	209	1108
159	210	1103
160	210	1097
161	211	1091
162	211	1085
163	211	1079
164	212	1074
165	212	1068
166	213	1063
167	213	1057
168	213	1051
169	214	1046
170	214	1041
171	215	1035
172	215	1030
173	215	1025
174	216	1020
175	216	1015
176	217	1010
177	217	1005
178	218	1000
179	218	995
180	218	989
181	219	984
182	219	980
183	219	975
184	220	970
185	220	966
186	221	961
187	221	957
188	222	952
189	222	948
190	222	944
191	223	939
192	223	935
193	224	931
194	224	927
195	225	923
196	225	918
197	225	914
198	226	910
199	226	906
200	227	902
201	227	898
202	227	894
203	228	891
204	228	887
205	229	883
206	229	879
207	230	875
208	230	872
209	230	868
210	231	864
211	231	861
212	232	857
213	232	853
214	232	850
215	233	846
216	233	843
217	234	839
218	234	836
219	234	832
220	235	829
221	235	826
222	236	822
223	236	819
224	237	816
225	237	813
226	237	810
227	238	807
228	238	803
229	239	800
230	239	797
231	239	794
232	240	791
233	240	788
234	241	785
235	241	782
236	242	779
237	242	776
238	242	773
239	243	770
240	243	767
241	244	764
242	244	761
243	244	759
244	245	756
245	245	753
246	246	750
247	246	748
248	247	745
249	247	742
250	247	740
251	248	737
252	248	734
253	249	731
254	249	729
255	250	726
256	250	724
257	250	721
258	251	719
259	251	716
260	252	714
261	252	711
262	253	709
263	253	706
264	253	704
265	254	701
266	254	699
267	255	697
268	255	694
269	256	692
270	256	690
271	256	687
272	257	685
273	257	683
274	258	680
275	258	678
276	259	676
277	259	673
278	259	671
279	260	669
280	260	667
281	261	664
282	261	662
283	261	660
284	262	658
285	262	656
286	263	653
287	263	651
288	264	649
289	264	647
290	264	645
291	265	643
292	265	641
293	266	639
294	266	637
295	267	635
296	267	633
297	267	631
298	268	629
299	268	626
300	269	624
301	269	622
302	269	621
303	270	619
304	270	617
305	271	615
306	271	613
307	272	611
308	272	609
309	272	607
310	273	605
311	273	603
312	274	601
313	274	600
314	275	598
315	275	596
316	275	594
317	276	592
318	276	590
319	277	588
320	277	587
321	277	585
322	278	583
323	278	581
324	279	579
325	279	578
326	280	576
327	280	574
328	280	572
329	281	571
330	281	569
331	282	567
332	282	566
333	283	564
334	283	562
335	283	561
336	284	559
337	284	557
338	285	556
339	285	554
340	286	552
341	286	551
342	286	549
343	287	548
344	287	546
345	288	544
346	288	543
347	289	541
348	289	540
349	289	538
350	290	536
351	290	535
352	291	533
353	291	531
354	291	530
355	292	528
356	292	527
357	293	525
358	293	524
359	294	522
360	294	521
361	294	519
362	295	518
363	295	516
364	296	515
365	296	513
366	296	512
367	297	510
368	297	509
369	298	507
370	298	506
371	299	504
372	299	503
373	299	501
374	300	500
375	300	499
376	301	497
377	301	496
378	301	494
379	302	493
380	302	491
381	303	490
382	303	489
383	304	487
384	304	486
385	304	484
386	305	483
387	305	482
388	306	480
389	306	479
390	306	478
391	307	476
392	307	475
393	308	474
394	308	472
395	309	471
396	309	470
397	309	468
398	310	467
399	310	466
400	311	464
401	311	463
402	311	462
403	312	460
404	312	459
405	313	458
406	313	457
407	314	455
408	314	454
409	315	453
410	315	452
411	315	450
412	316	449
413	316	448
414	317	447
415	317	445
416	318	444
417	318	443
418	318	442
419	319	441
420	319	439
421	320	438
422	320	437
423	321	436
424	321	435
425	322	433
426	322	432
427	322	431
428	323	430
429	323	429
430	324	427
431	324	426
432	324	425
433	325	424
434	325	423
435	326	422
436	326	420
437	327	419
438	327	418
439	327	417
440	328	416
441	328	415
442	329	413
443	329	412
444	330	411
445	330	410
446	330	409
447	331	408
448	331	407
449	332	405
450	332	404
451	332	403
452	333	402
453	333	401
454	334	400
455	334	399
456	335	398
457	335	396
458	335	395
459	336	394
460	336	393
461	337	392
462	337	391
463	337	390
464	338	389
465	338	388
466	339	387
467	339	386
468	340	384
469	340	383
470	340	382
471	341	381
472	341	380
473	342	379
474	342	378
475	343	377
476	343	376
477	343	375
478	344	374
479	344	373
480	345	372
481	345	371
482	345	370
483	346	369
484	346	368
485	347	367
486	347	366
487	347	365
488	348	364
489	348	363
490	349	362
491	349	361
492	350	360
493	350	359
494	350	358
495	351	357
496	351	356
497	352	355
498	352	354
499	353	353
500	353	352
501	353	351
502	354	350
503	354	349
504	355	348
505	355	347
506	356	346
507	356	345
508	356	344
509	357	343
510	357	342
511	358	341
512	358	340
513	359	339
514	359	338
515	359	337
516	360	336
517	360	335
518	361	334
519	361	333
520	362	332
521	362	331
522	362	330
523	363	330
524	363	329
525	364	328
526	364	327
527	365	326
528	365	325
529	365	324
530	366	323
531	366	322
532	367	321
533	367	320
534	368	319
535	368	318
536	368	318
537	369	317
538	369	316
539	370	315
540	370	314
541	370	313
542	371	312
543	371	311
544	372	310
545	372	309
546	372	308
547	373	307
548	373	307
549	374	306
550	374	305
551	375	304
552	375	303
553	375	302
554	376	301
555	376	300
556	377	300
557	377	299
558	378	298
559	378	297
560	378	296
561	379	295
562	379	294
563	380	293
564	380	293
565	380	292
566	381	291
567	381	290
