iter	Passed	Remaining
0	148	148379
1	149	74595
2	149	49847
3	150	37457
4	150	30024
5	151	25069
6	151	21536
7	152	18879
8	152	16812
9	153	15158
10	153	13806
11	154	12680
12	154	11730
13	154	10916
14	155	10208
15	156	9595
16	156	9058
17	157	8577
18	158	8158
19	158	7776
20	159	7423
21	159	7105
22	160	6812
23	160	6543
24	161	6297
25	161	6066
26	162	5850
27	162	5651
28	163	5465
29	163	5292
30	164	5129
31	164	4977
32	165	4835
33	165	4703
34	166	4579
35	166	4460
36	167	4351
37	167	4243
38	168	4141
39	168	4044
40	168	3951
41	169	3864
42	169	3780
43	170	3700
44	170	3623
45	171	3550
46	171	3480
47	172	3415
48	172	3352
49	173	3290
50	173	3231
51	174	3173
52	174	3119
53	175	3065
54	175	3014
55	175	2964
56	176	2917
57	176	2870
58	177	2826
59	177	2783
60	178	2741
61	178	2701
62	178	2662
63	179	2624
64	179	2587
65	180	2552
66	180	2517
67	181	2484
68	181	2451
69	182	2419
70	182	2388
71	183	2358
72	183	2329
73	183	2301
74	184	2274
75	184	2247
76	185	2220
77	185	2195
78	186	2170
79	186	2145
80	187	2122
81	187	2099
82	187	2074
83	188	2052
84	188	2030
85	189	2009
86	189	1988
87	189	1968
88	190	1948
89	190	1929
90	191	1910
91	191	1891
92	192	1873
93	192	1856
94	193	1838
95	193	1821
96	193	1805
97	194	1790
98	195	1775
99	195	1759
100	195	1744
101	196	1729
102	196	1714
103	197	1699
104	197	1685
105	198	1671
106	198	1657
107	199	1643
108	199	1630
109	199	1617
110	200	1604
111	200	1592
112	201	1579
113	201	1568
114	202	1557
115	202	1545
116	203	1533
117	203	1521
118	204	1510
119	204	1499
120	204	1488
121	205	1477
122	205	1466
123	206	1456
124	206	1446
125	207	1436
126	207	1425
127	207	1416
128	208	1407
129	208	1397
130	209	1388
131	209	1379
132	210	1370
133	210	1361
134	211	1353
135	211	1344
136	212	1335
137	212	1327
138	212	1319
139	213	1310
140	213	1302
141	214	1293
142	214	1285
143	215	1278
144	215	1270
145	215	1262
146	216	1255
147	216	1247
148	217	1241
149	217	1233
150	218	1226
151	218	1219
152	219	1212
153	219	1206
154	219	1199
155	220	1192
156	220	1186
157	221	1179
158	221	1172
159	222	1166
160	222	1159
161	222	1153
162	223	1146
163	223	1140
164	224	1134
165	224	1129
166	225	1123
167	225	1117
168	226	1111
169	226	1106
170	226	1100
171	227	1094
172	227	1089
173	228	1083
174	228	1078
175	229	1073
176	229	1067
177	230	1062
178	230	1057
179	230	1052
180	231	1047
181	231	1042
182	232	1037
183	232	1032
184	233	1027
185	233	1022
186	234	1017
187	234	1013
188	235	1008
189	235	1003
190	235	999
191	236	994
192	236	990
193	237	986
194	237	981
195	238	977
196	238	973
197	239	968
198	239	965
199	240	960
200	240	956
201	241	952
202	241	948
203	241	944
204	242	940
205	242	936
206	243	932
207	243	928
208	244	924
209	244	920
210	245	916
211	245	912
212	245	908
213	246	905
214	246	901
215	247	898
216	247	894
217	248	890
218	248	887
219	249	883
220	249	880
221	250	876
222	250	873
223	251	869
224	251	866
225	251	862
226	252	859
227	252	855
228	253	852
229	253	849
230	254	845
